financial_year,state_code,states,requirement_urea,availability_urea,sales_urea,requirement_dap,availability_dap,sales_dap,requirement_mop,availability_mop,sales_mop,requirement_npks,availability_npks,sales_npks
2017-18,6.0,Chandigarh,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-18,7.0,Chattisgarh,6.56,6.95,6.63,3.4,3.37,3.26,1.0,0.75,0.73,1.6,0.98,0.81
2017-18,8.0,Dadra & Nagar Haveli,0.01,0.01,0.01,0.01,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-18,9.0,Daman & Diu,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-18,10.0,Delhi,0.09,0.13,0.13,0.05,0.03,0.03,0.02,0.0,0.0,0.03,0.0,0.0
2017-18,11.0,GOA,0.03,0.02,0.02,0.02,0.02,0.02,0.02,0.01,0.01,0.04,0.02,0.02
2017-18,12.0,Gujarat,20.0,22.94,22.39,4.8,5.55,5.47,1.6,1.61,1.61,5.2,6.92,6.8
2017-18,13.0,Harayana,18.0,21.25,20.62,6.2,5.48,5.47,0.65,0.77,0.72,0.55,0.22,0.19
2017-18,14.0,Himachal Pradesh,0.66,0.7,0.7,0.02,0.0,0.0,0.1,0.11,0.11,0.37,0.3,0.3
2017-18,15.0,J&K,1.28,1.63,1.51,0.65,0.65,0.65,0.26,0.38,0.38,0.0,0.01,0.01
2017-18,16.0,Jharkhand,2.4,2.24,2.22,1.0,0.85,0.82,0.07,0.03,0.03,0.33,0.15,0.14
2017-18,17.0,Karnataka,13.5,13.95,13.48,6.0,5.13,4.9,3.5,2.66,2.54,12.5,13.04,11.64
2017-18,18.0,Kerala,1.1,1.37,1.33,0.35,0.35,0.31,1.1,1.04,1.02,1.45,1.29,1.17
2017-18,19.0,Lakshadweep,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-18,20.0,Madhya Pradesh,22.0,25.0,24.49,10.5,11.25,11.06,1.25,1.1,1.08,3.15,3.14,2.93
2017-18,21.0,Maharashtra,26.62,24.02,23.58,7.22,6.73,6.66,4.5,4.36,4.24,20.5,21.03,19.71
2017-18,22.0,Manipur,0.22,0.21,0.21,0.06,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.0
2017-18,23.0,Meghalaya,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-18,24.0,Mizoram,0.07,0.06,0.06,0.02,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.0
2017-18,25.0,Nagaland,0.01,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-18,26.0,Orissa,5.25,5.3,5.26,2.2,1.84,1.73,1.35,1.27,1.22,3.1,2.51,2.23
2017-18,27.0,Pondicherry,0.14,0.11,0.11,0.02,0.01,0.01,0.03,0.01,0.01,0.06,0.05,0.05
2017-18,28.0,Punjab,25.5,28.66,28.06,9.0,6.96,6.85,1.1,0.99,0.83,0.43,0.35,0.32
2017-18,29.0,Rajasthan,18.5,17.27,16.8,5.83,5.42,5.37,0.25,0.29,0.26,0.6,0.67,0.59
2017-18,30.0,Sikkim,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-18,31.0,Tamil Nadu,9.0,8.88,8.81,3.5,2.48,2.44,3.31,2.98,2.96,6.0,5.82,5.35
2017-18,32.0,Telangana,13.8,14.7,14.02,2.6,2.67,2.53,1.8,2.11,2.06,9.0,11.3,10.17
2017-18,33.0,Tripura,0.43,0.23,0.23,0.06,0.01,0.01,0.14,0.0,0.0,0.02,0.0,0.0
2017-18,34.0,Uttar Pradesh,58.5,62.97,58.92,21.3,18.55,18.08,3.5,3.05,2.97,7.5,5.52,5.21
2017-18,35.0,Uttarakhand,2.35,3.18,3.1,0.4,0.29,0.29,0.06,0.06,0.06,0.45,0.34,0.32
2017-18,36.0,West Bengal,12.5,12.55,12.41,3.5,3.36,3.23,3.25,2.96,2.93,10.75,10.0,9.21
2017-18,,All India,298.0,313.57,303.31,98.77,91.94,89.85,33.9,32.88,31.93,98.19,98.64,90.75
2018-19,1.0,Andaman & Nicobar,0.01,0.01,0.0,0.01,0.0,0.0,0.01,0.0,0.0,0.01,0.01,0.0
2018-19,2.0,Andhra Pradesh,16.7,16.79,14.18,3.76,4.11,3.14,2.86,3.01,2.41,12.5,15.06,11.38
2018-19,3.0,Arunachal Pradesh,0.04,0.0,0.0,0.01,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.0
2018-19,4.0,Assam,3.35,5.15,4.39,0.65,0.93,0.58,0.8,1.11,0.79,0.05,0.23,0.14
2018-19,5.0,Bihar,21.0,25.59,22.34,5.0,8.5,5.87,2.1,2.97,2.03,3.5,4.53,3.19
2018-19,6.0,Chandigarh,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.0
2018-19,7.0,Chattisgarh,6.0,10.94,8.18,3.5,5.49,3.31,1.2,1.36,0.71,1.5,1.74,0.94
2018-19,8.0,Dadra & Nagar Haveli,0.01,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-19,9.0,Daman & Diu,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-19,10.0,Delhi,0.08,0.23,0.21,0.04,0.03,0.02,0.02,0.01,0.0,0.02,0.0,0.0
2018-19,11.0,GOA,0.03,0.02,0.02,0.02,0.02,0.02,0.01,0.01,0.0,0.03,0.03,0.03
2018-19,12.0,Gujarat,19.6,23.18,20.06,5.0,6.32,4.31,1.41,1.63,1.32,4.65,8.19,5.98
2018-19,13.0,Harayana,19.0,24.99,21.66,6.2,6.93,5.48,0.85,1.05,0.7,0.27,0.57,0.38
