Episode,Total_Reward
787,104.5
788,149.8
789,133.7
790,124.2
791,115.0
792,139.0
793,113.5
794,114.1
795,151.2
796,160.0
797,130.0
798,109.5
799,99.1
800,155.0
801,98.5
802,149.4
803,77.3
804,80.69999999999999
805,160.0
806,160.0
807,160.0
808,87.59999999999998
809,119.26
810,103.4
811,160.0
812,118.0
813,137.0
814,99.19999999999999
815,156.8
816,149.0
817,77.4
818,96.3
819,133.8
820,134.0
821,91.2
822,129.4
823,118.0
824,82.0
825,115.0
826,121.0
827,138.5
828,137.0
829,117.0
830,89.4
831,143.2
832,144.8
833,137.6
834,155.6
835,86.80000000000001
836,160.0
837,108.8
838,55.4
839,117.4
840,148.4
841,102.8
842,153.5
843,65.9
844,99.6
845,160.0
846,87.59999999999998
847,72.2
848,70.6
849,142.76
850,116.80000000000001
851,138.1
852,132.0
853,129.9
854,152.29999999999998
855,137.6
856,87.0
857,156.4
858,145.8
859,128.9
860,105.3
861,147.0
862,160.0
863,127.5
864,106.6
865,152.6
866,160.0
867,136.79999999999998
868,135.4
869,91.5
870,116.3
871,136.6
872,156.8
873,115.0
874,132.3
875,148.4
876,160.0
877,132.0
878,58.599999999999994
879,115.5
880,115.0
881,132.0
882,133.0
883,92.6
884,120.6
885,126.8
886,136.8
887,137.6
888,149.2
889,125.5
890,52.5
891,160.0
892,86.9
893,116.3
894,142.56
895,140.5
896,155.6
897,140.2
898,117.69999999999999
899,142.1
900,118.0
901,133.0
902,104.8
903,160.0
904,134.15999999999997
905,81.86
906,101.0
907,117.7
908,57.9
909,124.79999999999998
910,34.3
911,156.7
912,104.35999999999999
913,130.6
914,122.1
915,136.56
916,157.0
917,137.0
918,117.5
919,147.5
920,118.0
921,117.4
922,148.4
923,150.16
924,121.3
925,125.6
926,129.0
927,88.3
928,127.2
929,135.8
930,131.2
931,150.39999999999998
932,116.9
933,139.0
934,90.4
935,102.8
936,135.5
937,123.0
938,116.5
939,67.0
940,160.0
941,131.2
942,144.0
943,147.2
944,113.0
945,99.8
946,127.4
947,129.0
948,129.8
949,155.6
950,124.0
951,160.0
952,146.0
953,65.6
954,156.56
955,125.4
956,100.19999999999999
957,97.7
958,132.8
959,140.0
960,119.19999999999999
961,116.3
962,141.2
963,143.6
964,109.0
965,160.0
966,72.8
967,96.9
968,159.0
969,110.5
970,123.0
971,72.0
972,132.0
973,133.6
974,160.0
975,128.5
976,107.19999999999999
977,120.6
978,133.8
979,156.8
980,145.3
981,117.3
982,139.0
983,94.0
984,156.8
985,133.56
986,160.0
987,159.0
988,146.0
989,90.59999999999998
990,97.8
991,162.0
992,133.56
993,135.7
994,145.2
995,156.56
996,100.0
997,132.0
998,121.0
999,145.1
1000,66.5
1001,146.0
1002,114.20000000000002
1003,92.1
1004,88.89999999999999
1005,162.0
1006,137.0
1007,106.2
1008,152.8
1009,145.8
1010,139.0
1011,153.6
1012,120.8
1013,137.0
1014,99.2
1015,113.4
1016,123.4
1017,130.5
1018,153.7
1019,152.3
1020,159.0
1021,133.56
1022,107.5
1023,127.0
1024,87.7
1025,155.6
1026,135.6
1027,118.9
1028,139.0
1029,135.5
1030,150.39999999999998
1031,130.6
1032,137.6
1033,117.56
